Nome,Data de Nascimento,Sexo,Raça,Estado Civil,Você trabalha? (Estágio ou Efetivo),Renda Própria,Quantidade de Filhos,Renda do Responsável Financeiro,Escolaridade do Responsável,Bairro,Distancia,Tipo de Ingresso,%_BOLSA,Curso,Semestre,FALTA,Status
Sophia Abreu,1998-01-22,Masculino,Negro,Solteiro,Sim,1891,0,3722,Ensino Superior,Asa Norte,2,IDP Pass,32,Ciência da Computação,2,10,1
Larissa Carvalho,1995-01-08,Feminino,Outras,Solteiro,Sim,1856,0,2289,Ensino Superior,SIA,6,ENEM,11,Publicidade,1,33,0
Luísa Albuquerque,1996-03-27,Masculino,Branco,Solteiro,Sim,2261,0,2926,Ensino Superior,Riacho Fundo,2,IDP Pass,10,Arquitetura,2,7,1
Diego Machado,2002-07-14,Feminino,Outras,Solteiro,Sim,1872,0,2283,Ensino Médio,Brazlândia,7,IDP Pass,41,Economia,4,6,1
Levi Gonçalves,2005-08-26,Masculino,Branco,União Estável,Não,1099,0,2448,Ensino Superior,Vicente Pires,9,Transferência,10,Arquitetura,5,37,1
Emanuelly Fernandes,2004-08-10,Feminino,Branco,Solteiro,Não,1000,0,2850,Ensino Médio,Vicente Pires,9,ENEM,7,Administração,2,6,1
Ana Lívia Gomes,2002-10-16,Feminino,Branco,Solteiro,Sim,2351,0,2820,Ensino Superior,Santa Maria,4,Transferência,11,Administração,2,30,1
Marina das Neves,2002-08-17,Masculino,Branco,Solteiro,Não,2349,2,3608,Ensino Médio,Ceilândia,2,ENEM,20,Psicologia,5,6,0
Léo Ferreira,1995-03-06,Feminino,Branco,Solteiro,Sim,1347,0,3401,Ensino Médio,Sobradinho,1,ENEM,42,Publicidade,4,7,1
Mathias Martins,1995-10-02,Feminino,Branco,Solteiro,Não,1430,0,2636,Ensino Médio,SCIA,1,PROUNI,100,Psicologia,3,23,1
Luiz Miguel Rezende,2003-08-21,Feminino,Branco,Solteiro,Sim,2636,0,2684,Ensino Superior,Lago Sul,9,ENEM,18,Publicidade,2,9,1
Stella Andrade,2003-04-16,Feminino,Negro,Casado,Sim,2344,0,3037,Ensino Médio,Noroeste,4,ENEM,6,Administração,5,8,0
Stephany Marques,2002-07-21,Feminino,Branco,Solteiro,Não,2499,0,2518,Ensino Superior,Asa Sul,5,PROUNI,100,Arquitetura,4,11,0
Luísa Sampaio,1997-06-19,Masculino,Branco,Solteiro,Não,2005,2,2319,Ensino Superior,Asa Sul,8,Transferência,22,Psicologia,1,10,0
Cauê Macedo,1997-03-14,Feminino,Outras,Solteiro,Não,2329,0,2989,Ensino Médio,Núcleo Bandeirante,3,Transferência,40,Arquitetura,5,10,0
Davi Luiz Melo,2001-10-21,Masculino,Negro,Solteiro,Sim,2121,0,2513,Ensino Superior,Setor de Indústrias Gráficas,7,Transferência,11,Economia,2,10,0
Maria Luísa Freitas,2005-12-29,Feminino,Outras,Solteiro,Não,2491,0,2169,Ensino Médio,Noroeste,9,IDP Pass,31,Psicologia,1,8,1
José Miguel Gonçalves,1905-04-10,Masculino,Branco,Solteiro,Sim,2492,0,2075,Ensino Médio,Gama,2,ENEM,12,Psicologia,1,10,0
Vinicius Cavalcante,2003-03-28,Masculino,Branco,Solteiro,Não,2282,0,2143,Ensino Superior,Asa Sul,7,IDP Pass,46,Ciência da Computação,2,10,1
Thales Duarte,2002-09-29,Feminino,Branco,Solteiro,Não,2032,0,2366,Ensino Médio,Santa Maria,5,PROUNI,100,Arquitetura,3,7,1
